antecedente,consecuente,confidence,support,lift
"('X (feat. Future)',)","('Bad and Boujee (feat. Lil Uzi Vert)',)",0.534,0.011,15.487
"('Mask Off',)","('XO TOUR Llif3',)",0.516,0.016,15.97
"('XO TOUR Llif3',)","('Mask Off',)",0.505,0.016,15.97
"('You Was Right',)","('Money Longer',)",0.603,0.012,31.087
"('Money Longer',)","('You Was Right',)",0.603,0.012,31.087
"('Bounce Back',)","('Bad and Boujee (feat. Lil Uzi Vert)',)",0.569,0.017,16.493
"('Drowning (feat. Kodak Black)',)","('Congratulations',)",0.544,0.01,13.5
"('goosebumps',)","('HUMBLE.',)",0.542,0.017,11.66
"('Butterfly Effect',)","('HUMBLE.',)",0.521,0.01,11.196
"('Money Longer',)","('Bad and Boujee (feat. Lil Uzi Vert)',)",0.557,0.011,16.136
"('Drowning (feat. Kodak Black)',)","('XO TOUR Llif3',)",0.642,0.012,19.891
"('You Was Right',)","('Bad and Boujee (feat. Lil Uzi Vert)',)",0.541,0.01,15.688
"('DNA.',)","('XO TOUR Llif3',)",0.511,0.012,15.815
"('rockstar',)","('HUMBLE.',)",0.504,0.012,10.845
"('Wet Dreamz',)","('No Role Modelz',)",0.529,0.01,17.013
"('What Do You Mean?',)","('Sorry',)",0.593,0.013,18.635
"('Bank Account',)","('HUMBLE.',)",0.543,0.012,11.688
"('679 (feat. Remy Boyz)',)","('Trap Queen',)",0.5,0.012,17.301
"('Too Good',)","('One Dance',)",0.653,0.013,15.899
"('Cold Water (feat. Justin Bieber & MØ)',)","('Closer',)",0.62,0.014,8.571
"('X (feat. Future)',)","('No Heart',)",0.505,0.01,34.115
"('No Heart',)","('X (feat. Future)',)",0.696,0.01,34.115
"('goosebumps',)","('Congratulations',)",0.503,0.016,12.488
"('Portland',)","('HUMBLE.',)",0.616,0.011,13.253
"('Chill Bill',)","('Caroline',)",0.504,0.012,12.933
"('pick up the phone',)","('Bad and Boujee (feat. Lil Uzi Vert)',)",0.51,0.01,14.789
"('Butterfly Effect',)","('Bank Account',)",0.572,0.011,24.877
"('Magnolia',)","('HUMBLE.',)",0.545,0.011,11.73
"('Slippery (feat. Gucci Mane)',)","('Congratulations',)",0.559,0.013,13.879
"('Swang',)","('Congratulations',)",0.511,0.011,12.69
"('Controlla',)","('One Dance',)",0.602,0.012,14.646
"('Drowning (feat. Kodak Black)',)","('HUMBLE.',)",0.606,0.012,13.037
"('Bank Account',)","('XO TOUR Llif3',)",0.557,0.013,17.23
"('Magnolia',)","('XO TOUR Llif3',)",0.591,0.012,18.294
"('Swang',)","('Mask Off',)",0.511,0.011,16.184
"('Tunnel Vision',)","('Mask Off',)",0.514,0.013,16.271
"('pick up the phone',)","('goosebumps',)",0.526,0.01,17.062
"('Chicken Fried',)","('Knee Deep (feat. Jimmy Buffett)',)",0.5,0.011,31.847
"('Knee Deep (feat. Jimmy Buffett)',)","('Chicken Fried',)",0.682,0.011,31.847
"('Swang',)","('XO TOUR Llif3',)",0.516,0.011,15.975
"('Slippery (feat. Gucci Mane)',)","('HUMBLE.',)",0.627,0.015,13.486
"('Mask Off',)","('HUMBLE.',)",0.646,0.02,13.883
"('Tunnel Vision',)","('HUMBLE.',)",0.563,0.014,12.102
"('Congratulations',)","('HUMBLE.',)",0.531,0.021,11.42
"('Slippery (feat. Gucci Mane)',)","('Mask Off',)",0.534,0.013,16.896
"('Magnolia',)","('Bank Account',)",0.571,0.011,24.813
"('Portland',)","('XO TOUR Llif3',)",0.593,0.01,18.36
"('DNA.',)","('HUMBLE.',)",0.823,0.019,17.688
"('Chill Bill',)","('Broccoli (feat. Lil Yachty)',)",0.531,0.012,13.301
"('Love Yourself',)","('Sorry',)",0.539,0.012,16.955
"('Mask Off',)","('Congratulations',)",0.513,0.016,12.721
"('Drowning (feat. Kodak Black)',)","('goosebumps',)",0.518,0.01,16.823
"('Slippery (feat. Gucci Mane)',)","('goosebumps',)",0.53,0.012,17.197
"('Butterfly Effect',)","('XO TOUR Llif3',)",0.552,0.011,17.076
"('Starving',)","('Closer',)",0.619,0.011,8.559
"('Swang',)","('HUMBLE.',)",0.516,0.011,11.096
"('XO TOUR Llif3',)","('Congratulations',)",0.554,0.018,13.751
"('Tunnel Vision',)","('XO TOUR Llif3',)",0.551,0.014,17.047
"('Bounce Back',)","('HUMBLE.',)",0.525,0.016,11.296
"('XO TOUR Llif3',)","('HUMBLE.',)",0.632,0.02,13.582
"('Slippery (feat. Gucci Mane)',)","('XO TOUR Llif3',)",0.559,0.013,17.316
"('Slippery (feat. Gucci Mane)',)","('Bad and Boujee (feat. Lil Uzi Vert)',)",0.513,0.012,14.861
"('DNA.', 'HUMBLE.')","('XO TOUR Llif3',)",0.537,0.01,16.62
"('DNA.', 'XO TOUR Llif3')","('HUMBLE.',)",0.864,0.01,18.589
"('HUMBLE.', 'XO TOUR Llif3')","('DNA.',)",0.5,0.01,21.645
"('Mask Off', 'goosebumps')","('XO TOUR Llif3',)",0.682,0.01,21.128
"('Mask Off', 'XO TOUR Llif3')","('goosebumps',)",0.62,0.01,20.118
"('goosebumps', 'XO TOUR Llif3')","('Mask Off',)",0.664,0.01,21.028
"('Mask Off', 'HUMBLE.')","('Congratulations',)",0.593,0.012,14.718
"('Mask Off', 'Congratulations')","('HUMBLE.',)",0.747,0.012,16.063
"('HUMBLE.', 'Congratulations')","('Mask Off',)",0.565,0.012,17.893
"('Broccoli (feat. Lil Yachty)', 'Bad and Boujee (feat. Lil Uzi Vert)')","('Bounce Back',)",0.645,0.01,21.723
"('Broccoli (feat. Lil Yachty)', 'Bounce Back')","('Bad and Boujee (feat. Lil Uzi Vert)',)",0.775,0.01,22.469
"('Bad and Boujee (feat. Lil Uzi Vert)', 'Bounce Back')","('Broccoli (feat. Lil Yachty)',)",0.592,0.01,14.83
"('Bad and Boujee (feat. Lil Uzi Vert)', 'Mask Off')","('HUMBLE.',)",0.728,0.011,15.666
"('Bad and Boujee (feat. Lil Uzi Vert)', 'HUMBLE.')","('Mask Off',)",0.659,0.011,20.844
"('Mask Off', 'HUMBLE.')","('Bad and Boujee (feat. Lil Uzi Vert)',)",0.539,0.011,15.629
"('Mask Off', 'DNA.')","('HUMBLE.',)",0.909,0.01,19.55
"('DNA.', 'HUMBLE.')","('Mask Off',)",0.526,0.01,16.656
"('Bad and Boujee (feat. Lil Uzi Vert)', 'HUMBLE.')","('Congratulations',)",0.605,0.01,15.007
"('Bad and Boujee (feat. Lil Uzi Vert)', 'Congratulations')","('HUMBLE.',)",0.678,0.01,14.577
"('Slippery (feat. Gucci Mane)', 'HUMBLE.')","('XO TOUR Llif3',)",0.682,0.01,21.128
"('Slippery (feat. Gucci Mane)', 'XO TOUR Llif3')","('HUMBLE.',)",0.765,0.01,16.455
