antecedente,consecuente,confidence,support,lift
"('No Heart',)","('X (feat. Future)',)",0.696,0.01,34.115
"('X (feat. Future)',)","('No Heart',)",0.505,0.01,34.115
"('Chicken Fried',)","('Knee Deep (feat. Jimmy Buffett)',)",0.5,0.011,31.847
"('Knee Deep (feat. Jimmy Buffett)',)","('Chicken Fried',)",0.682,0.011,31.847
"('You Was Right',)","('Money Longer',)",0.603,0.012,31.087
"('Money Longer',)","('You Was Right',)",0.603,0.012,31.087
"('Bank Account',)","('Butterfly Effect',)",0.483,0.011,24.877
"('Butterfly Effect',)","('Bank Account',)",0.572,0.011,24.877
"('Bank Account',)","('Magnolia',)",0.491,0.011,24.813
"('Magnolia',)","('Bank Account',)",0.571,0.011,24.813
